invoice_id,client_name,amount,issue_date,due_date,paid_date,days_to_pay,historical_client_delay,avg_client_amount,relative_amount,days_until_due,is_weekend
60,Nguyen Group,2682.29,2025-09-03,2025-09-18,2025-09-14,11,35.81132075471698,24230.044716981134,0.11070099256235262,15,0
61,"Bullock, Spears and Dawson",8498.31,2025-11-06,2025-12-06,2025-12-02,26,38.38297872340426,21028.421063829785,0.40413447943638675,30,0
62,Holmes Inc,4224.57,2025-06-09,2025-08-08,2025-08-16,68,53.84615384615385,23375.006153846156,0.18073021979953074,60,0
63,Duarte Group,27849.99,2025-12-01,2025-12-16,2025-12-07,6,52.048780487804876,21627.400487804876,1.287717865848181,15,0
64,Smith-Kim,44999.58,2026-04-30,2026-05-30,2026-06-23,54,35.90909090909091,27937.150909090906,1.6107433483976665,30,0
65,Nguyen Group,33513.2,2026-01-24,2026-03-10,2026-03-07,42,35.81132075471698,24230.044716981134,1.3831258006929286,45,1
66,Guerrero Ltd,46325.31,2025-12-12,2026-02-10,2026-02-08,58,46.75,27143.911346153844,1.706655662451685,60,1
67,"Perez, Schmidt and Hatfield",44130.1,2025-11-07,2025-12-07,2025-12-05,28,42.48979591836735,27635.63102040816,1.5968551601883496,30,1
68,"Miller, Whitehead and Lindsey",39228.13,2025-12-23,2026-01-22,2026-01-17,25,46.84615384615385,26290.750512820512,1.492088633257946,30,0
69,Smith-Kim,19435.82,2025-09-21,2025-10-21,2025-10-20,29,35.90909090909091,27937.150909090906,0.6956979995292031,30,0
70,Nguyen Group,17808.09,2025-06-05,2025-08-04,2025-07-28,53,35.81132075471698,24230.044716981134,0.7349590233120603,60,0
71,"Perez, Schmidt and Hatfield",20224.07,2025-11-23,2025-12-23,2026-01-05,43,42.48979591836735,27635.63102040816,0.731811406262628,30,0
72,Austin-Burns,17881.73,2025-11-25,2025-12-10,2025-12-06,11,46.93617021276596,25027.96574468085,0.7144699726065581,15,0
73,Nichols Inc,16891.92,2025-06-09,2025-08-08,2025-07-31,52,40.24444444444445,26010.245777777774,0.6494333096395364,60,0
74,"Miller, Whitehead and Lindsey",9339.11,2026-01-04,2026-01-19,2026-01-15,11,46.84615384615385,26290.750512820512,0.35522416887436686,15,0
75,Austin-Burns,17611.51,2025-12-24,2026-01-08,2026-02-05,43,46.93617021276596,25027.96574468085,0.7036732501419115,15,0
76,"Bullock, Spears and Dawson",6224.47,2025-07-08,2025-09-06,2025-08-29,52,38.38297872340426,21028.421063829785,0.2960027279797285,60,0
77,"Hamilton, Young and Jackson",583.72,2025-09-11,2025-10-11,2025-11-08,58,50.07017543859649,22890.37894736842,0.025500670012590907,30,0
78,"Baxter, Villa and Edwards",47469.29,2026-03-26,2026-04-25,2026-04-30,35,51.32786885245902,27042.85131147541,1.755335983371576,30,0
79,"Bullock, Spears and Dawson",36127.84,2025-11-09,2025-12-24,2025-12-23,44,38.38297872340426,21028.421063829785,1.718048154463778,45,0
80,Golden Group,20418.82,2026-01-12,2026-02-26,2026-02-21,40,34.95454545454545,26376.188181818183,0.7741383955576736,45,0
81,Golden Group,47048.0,2026-01-08,2026-02-07,2026-01-28,20,34.95454545454545,26376.188181818183,1.7837300703075607,30,0
82,"Morgan, Schultz and Weaver",15541.81,2025-12-04,2026-01-18,2026-01-19,46,54.25,27012.770625,0.5753504598160781,45,0
83,Horton LLC,32907.93,2026-05-07,2026-07-06,2026-08-14,99,62.05128205128205,25709.866923076923,1.2799727862637114,60,0
84,Holmes Inc,25803.11,2025-05-26,2025-07-25,2025-08-08,74,53.84615384615385,23375.006153846156,1.1038760730231645,60,0
85,"Morgan, Schultz and Weaver",31830.57,2025-06-30,2025-07-15,2025-08-27,58,54.25,27012.770625,1.1783526555599293,15,0
86,"Bullock, Spears and Dawson",33803.39,2025-05-24,2025-06-08,2025-06-05,12,38.38297872340426,21028.421063829785,1.6075096602542343,15,1
87,"Perez, Schmidt and Hatfield",12619.71,2026-04-20,2026-05-20,2026-05-23,33,42.48979591836735,27635.63102040816,0.45664634871846016,30,0
88,Mcknight PLC,28995.71,2025-10-23,2025-11-07,2025-12-18,56,49.5625,21329.647708333334,1.359408762699423,15,0
89,Ruiz LLC,32974.87,2026-01-31,2026-04-01,2026-03-30,58,36.333333333333336,26597.913787878788,1.239753999617343,60,1
90,"Miller, Whitehead and Lindsey",9206.39,2025-09-24,2025-10-09,2025-10-06,12,46.84615384615385,26290.750512820512,0.35017600564542894,15,0
91,Nichols Inc,45914.77,2025-09-20,2025-11-19,2025-12-05,76,40.24444444444445,26010.245777777774,1.765257060324587,60,1
92,Evans Ltd,33545.1,2025-06-05,2025-08-04,2025-09-03,90,44.63265306122449,25183.376734693877,1.3320334422741091,60,0
93,"Baxter, Villa and Edwards",30826.29,2025-12-21,2026-02-04,2026-01-28,38,51.32786885245902,27042.85131147541,1.1399053171186546,45,0
94,Nichols Inc,22572.72,2026-01-06,2026-03-07,2026-02-27,52,40.24444444444445,26010.245777777774,0.8678395503392485,60,0
95,"Morgan, Schultz and Weaver",42073.21,2025-08-01,2025-09-30,2025-10-16,76,54.25,27012.770625,1.5575303468153592,60,1
96,Austin-Burns,22273.69,2025-11-15,2026-01-14,2026-01-10,56,46.93617021276596,25027.96574468085,0.8899520731018177,60,1
97,Golden Group,44704.83,2026-04-26,2026-05-26,2026-05-21,25,34.95454545454545,26376.188181818183,1.6948935036343213,30,0
98,Bailey LLC,34850.52,2025-11-16,2025-12-16,2026-01-10,55,42.25,25788.127794117645,1.3514172210651723,30,0
99,Horton LLC,27359.25,2025-10-24,2025-11-08,2025-11-30,37,62.05128205128205,25709.866923076923,1.0641536995060292,15,1
100,Smith-Kim,19779.1,2025-06-30,2025-07-15,2025-08-11,42,35.90909090909091,27937.150909090906,0.7079855803608008,15,0
101,"Hamilton, Young and Jackson",19328.86,2025-06-17,2025-07-02,2025-06-23,6,50.07017543859649,22890.37894736842,0.8444097865064891,15,0
102,"Miller, Whitehead and Lindsey",42745.67,2025-10-08,2025-11-22,2025-12-17,70,46.84615384615385,26290.750512820512,1.6258824554725189,45,0
103,Smith-Kim,22073.88,2026-02-11,2026-03-13,2026-03-09,26,35.90909090909091,27937.150909090906,0.7901263830313147,30,0
104,"Miller, Whitehead and Lindsey",40008.05,2026-04-11,2026-06-10,2026-07-24,104,46.84615384615385,26290.750512820512,1.521753819104188,60,1
105,"Morgan, Schultz and Weaver",26939.12,2025-07-16,2025-09-14,2025-09-05,51,54.25,27012.770625,0.997273488676062,60,0
106,Ruiz LLC,7217.12,2026-01-29,2026-02-13,2026-03-13,43,36.333333333333336,26597.913787878788,0.27134158180815626,15,0
107,Holmes Inc,16703.96,2025-09-02,2025-10-02,2025-10-27,55,53.84615384615385,23375.006153846156,0.7146077263064808,30,0
108,Holmes Inc,14273.7,2026-03-11,2026-04-25,2026-05-20,70,53.84615384615385,23375.006153846156,0.6106394114318291,45,0
109,Smith-Kim,1459.47,2025-07-22,2025-09-05,2025-08-29,38,35.90909090909091,27937.150909090906,0.052241189688569147,45,0
110,"Baxter, Villa and Edwards",11599.0,2025-09-02,2025-09-17,2025-09-12,10,51.32786885245902,27042.85131147541,0.42891187273133663,15,0
111,Bailey LLC,10368.35,2025-07-23,2025-08-07,2025-08-04,12,42.25,25788.127794117645,0.402059043711,15,0
112,"Miller, Whitehead and Lindsey",33638.21,2025-12-10,2026-01-09,2026-02-09,61,46.84615384615385,26290.750512820512,1.2794693701724698,30,0
113,"Hamilton, Young and Jackson",38461.46,2025-06-08,2025-07-08,2025-07-25,47,50.07017543859649,22890.37894736842,1.6802456651518958,30,0
114,"Morgan, Schultz and Weaver",48253.68,2025-10-25,2025-11-09,2025-11-07,13,54.25,27012.770625,1.7863284247985205,15,1
115,Evans Ltd,34028.69,2025-11-16,2025-12-01,2025-11-22,6,44.63265306122449,25183.376734693877,1.351236188795936,15,0
116,Ruiz LLC,4261.83,2026-05-07,2026-07-06,2026-07-03,57,36.333333333333336,26597.913787878788,0.16023173975179222,60,0
117,"Perez, Schmidt and Hatfield",42589.52,2025-06-13,2025-06-28,2025-06-24,11,42.48979591836735,27635.63102040816,1.5411090113538133,15,1
118,"Guzman, Duarte and Taylor",39240.45,2025-09-22,2025-10-07,2025-09-28,6,30.49019607843137,24701.661764705877,1.588575310186919,15,0
119,Guerrero Ltd,25545.06,2026-04-22,2026-06-21,2026-06-20,59,46.75,27143.911346153844,0.9410972381332806,60,0
120,"Bullock, Spears and Dawson",5724.17,2026-02-24,2026-03-11,2026-03-04,8,38.38297872340426,21028.421063829785,0.27221111764049344,15,0
121,Guerrero Ltd,9218.78,2025-12-26,2026-02-24,2026-02-18,54,46.75,27143.911346153844,0.33962607239749387,60,1
122,Nichols Inc,38844.75,2025-09-12,2025-10-27,2025-10-19,37,40.24444444444445,26010.245777777774,1.49344032854882,45,1
123,Holmes Inc,13785.58,2025-05-13,2025-07-12,2025-07-03,51,53.84615384615385,23375.006153846156,0.5897572778919548,60,0
124,"Perez, Schmidt and Hatfield",12571.24,2025-10-16,2025-10-31,2025-10-24,8,42.48979591836735,27635.63102040816,0.4548924535400144,15,0
125,Holmes Inc,42622.17,2025-09-05,2025-11-04,2025-12-06,92,53.84615384615385,23375.006153846156,1.8234078622044292,60,1
126,"Morgan, Schultz and Weaver",17346.77,2026-03-09,2026-05-08,2026-05-25,77,54.25,27012.770625,0.6421692258381585,60,0
127,"Guzman, Duarte and Taylor",47429.1,2025-06-23,2025-08-07,2025-07-30,37,30.49019607843137,24701.661764705877,1.920077298919518,45,0
128,Bailey LLC,27981.22,2025-11-10,2025-12-10,2025-12-03,23,42.25,25788.127794117645,1.0850427073803555,30,0
129,"Perez, Schmidt and Hatfield",22684.64,2025-10-08,2025-12-07,2025-11-30,53,42.48979591836735,27635.63102040816,0.8208475494280558,60,0
130,"Miller, Whitehead and Lindsey",34743.46,2026-03-18,2026-04-02,2026-04-28,41,46.84615384615385,26290.750512820512,1.3215088699372648,15,0
131,Golden Group,17515.99,2026-02-17,2026-04-03,2026-03-26,37,34.95454545454545,26376.188181818183,0.664083448269991,45,0
132,"Baxter, Villa and Edwards",13910.36,2025-12-08,2026-01-22,2026-02-21,75,51.32786885245902,27042.85131147541,0.5143821500100936,45,0
133,Austin-Burns,16119.62,2025-10-27,2025-11-26,2025-12-09,43,46.93617021276596,25027.96574468085,0.6440643304550581,30,0
134,"Baxter, Villa and Edwards",14186.73,2025-11-25,2025-12-25,2026-01-25,61,51.32786885245902,27042.85131147541,0.5246018563870881,30,0
135,"Hamilton, Young and Jackson",15164.2,2026-01-15,2026-03-01,2026-02-26,42,50.07017543859649,22890.37894736842,0.6624704656426558,45,0
136,Guerrero Ltd,6765.86,2025-09-23,2025-10-23,2025-11-27,65,46.75,27143.911346153844,0.2492588453343401,30,0
137,Nguyen Group,32074.55,2026-04-04,2026-04-19,2026-04-17,13,35.81132075471698,24230.044716981134,1.3237511682147745,15,1
138,Mcknight PLC,14574.8,2025-12-09,2025-12-24,2025-12-15,6,49.5625,21329.647708333334,0.683311801455855,15,0
139,Mcknight PLC,12997.68,2025-05-09,2025-07-08,2025-07-12,64,49.5625,21329.647708333334,0.6093715272625859,60,1
140,Mcknight PLC,24841.45,2026-03-06,2026-03-21,2026-03-15,9,49.5625,21329.647708333334,1.1646441769544384,15,1
141,"Hamilton, Young and Jackson",47481.72,2026-02-02,2026-02-17,2026-03-26,52,50.07017543859649,22890.37894736842,2.074309040893301,15,0
142,Bailey LLC,30512.72,2026-01-21,2026-02-20,2026-03-19,57,42.25,25788.127794117645,1.183208034472361,30,0
143,"Guzman, Duarte and Taylor",22800.47,2025-06-06,2025-07-06,2025-06-30,24,30.49019607843137,24701.661764705877,0.923033851616318,30,1
144,Holmes Inc,15616.32,2026-03-26,2026-05-10,2026-05-04,39,53.84615384615385,23375.006153846156,0.6680776850803296,45,0
145,"Guzman, Duarte and Taylor",47405.71,2025-11-21,2025-12-06,2025-12-05,14,30.49019607843137,24701.661764705877,1.919130399062221,15,1
146,Horton LLC,8274.33,2026-04-13,2026-05-13,2026-05-19,36,62.05128205128205,25709.866923076923,0.32183480469799874,30,0
147,"Morgan, Schultz and Weaver",22799.93,2025-05-22,2025-06-06,2025-07-03,42,54.25,27012.770625,0.8440426314100092,15,0
148,"Guzman, Duarte and Taylor",14761.19,2026-02-03,2026-04-04,2026-04-01,57,30.49019607843137,24701.661764705877,0.5975788244777532,60,0
149,Golden Group,46233.6,2025-09-17,2025-11-16,2025-12-01,75,34.95454545454545,26376.188181818183,1.7528537361539627,60,0
150,"Hamilton, Young and Jackson",11628.07,2025-11-17,2025-12-17,2026-01-21,65,50.07017543859649,22890.37894736842,0.5079894057995408,30,0
151,Duarte Group,3452.08,2025-08-06,2025-09-20,2025-09-19,44,52.048780487804876,21627.400487804876,0.15961603901248037,45,0
152,Golden Group,34589.56,2025-12-01,2026-01-15,2026-01-08,38,34.95454545454545,26376.188181818183,1.3113934341673947,45,0
153,Ruiz LLC,22169.06,2025-07-15,2025-08-29,2025-08-22,38,36.333333333333336,26597.913787878788,0.8334886779768004,45,0
154,"Guzman, Duarte and Taylor",30383.83,2025-11-19,2025-12-04,2025-11-29,10,30.49019607843137,24701.661764705877,1.2300318209122634,15,0
155,"Miller, Whitehead and Lindsey",41879.95,2026-04-10,2026-04-25,2026-06-08,59,46.84615384615385,26290.750512820512,1.5929537644647123,15,1
156,"Hamilton, Young and Jackson",41160.35,2025-11-03,2025-11-18,2025-11-08,5,50.07017543859649,22890.37894736842,1.7981506594818508,15,0
157,"Hamilton, Young and Jackson",23789.79,2025-10-04,2025-10-19,2025-10-17,13,50.07017543859649,22890.37894736842,1.0392920997376054,15,1
158,Holmes Inc,22076.31,2026-01-28,2026-03-14,2026-04-21,83,53.84615384615385,23375.006153846156,0.9444408208794218,45,0
159,Mcknight PLC,16998.77,2026-04-16,2026-05-01,2026-05-28,42,49.5625,21329.647708333334,0.7969550286270649,15,0
160,Evans Ltd,14766.78,2026-02-20,2026-03-22,2026-03-15,23,44.63265306122449,25183.376734693877,0.5863701343774342,30,1
161,Ruiz LLC,12993.74,2025-11-10,2025-11-25,2025-11-20,10,36.333333333333336,26597.913787878788,0.48852478068868366,15,0
162,Evans Ltd,33054.19,2025-06-16,2025-08-15,2025-08-15,60,44.63265306122449,25183.376734693877,1.3125400278217219,60,0
163,"Baxter, Villa and Edwards",26162.75,2025-10-02,2025-12-01,2025-12-14,73,51.32786885245902,27042.85131147541,0.9674553063455278,60,0
164,"Guzman, Duarte and Taylor",10576.13,2026-05-07,2026-07-06,2026-07-06,60,30.49019607843137,24701.661764705877,0.4281545954576765,60,0
165,"Baxter, Villa and Edwards",44101.91,2025-09-05,2025-10-05,2025-09-28,23,51.32786885245902,27042.85131147541,1.6308158297378104,30,1
166,Mcknight PLC,30639.15,2025-08-05,2025-08-20,2025-09-30,56,49.5625,21329.647708333334,1.4364583240645608,15,0
167,"Perez, Schmidt and Hatfield",27836.44,2026-04-11,2026-05-11,2026-05-11,30,42.48979591836735,27635.63102040816,1.0072663070166028,30,1
168,Bailey LLC,23341.67,2026-04-28,2026-05-28,2026-05-27,29,42.25,25788.127794117645,0.9051323999303396,30,0
169,Evans Ltd,25689.16,2026-02-19,2026-03-21,2026-03-17,26,44.63265306122449,25183.376734693877,1.020084012983427,30,0
170,Austin-Burns,12564.68,2025-06-25,2025-08-24,2025-08-17,53,46.93617021276596,25027.96574468085,0.5020256191884213,60,0
171,"Baxter, Villa and Edwards",25657.92,2025-07-15,2025-08-14,2025-09-22,69,51.32786885245902,27042.85131147541,0.9487875263031998,30,0
172,Duarte Group,17323.82,2026-02-28,2026-03-15,2026-04-11,42,52.048780487804876,21627.400487804876,0.801012586314682,15,1
173,Nichols Inc,36439.52,2025-06-06,2025-07-21,2025-07-17,41,40.24444444444445,26010.245777777774,1.4009679228457204,45,1
174,"Hamilton, Young and Jackson",27159.74,2025-11-26,2026-01-25,2026-01-18,53,50.07017543859649,22890.37894736842,1.1865133409301818,60,0
175,Guerrero Ltd,19171.9,2026-01-11,2026-02-25,2026-02-17,37,46.75,27143.911346153844,0.7063057256380467,45,0
176,"Bullock, Spears and Dawson",28803.98,2026-01-13,2026-02-12,2026-02-09,27,38.38297872340426,21028.421063829785,1.3697642781913222,30,0
177,"Perez, Schmidt and Hatfield",35408.78,2025-09-22,2025-11-21,2025-12-22,91,42.48979591836735,27635.63102040816,1.2812727154249375,60,0
178,Ruiz LLC,49050.5,2026-03-26,2026-05-25,2026-05-15,50,36.333333333333336,26597.913787878788,1.8441483941629029,60,0
179,Mcknight PLC,16933.74,2025-06-28,2025-07-13,2025-08-20,53,49.5625,21329.647708333334,0.7939062206538046,15,1
180,Evans Ltd,1259.71,2025-10-27,2025-12-26,2026-01-25,90,44.63265306122449,25183.376734693877,0.05002148890798114,60,0
181,Duarte Group,4204.0,2025-11-10,2026-01-09,2026-01-07,58,52.048780487804876,21627.400487804876,0.19438304674528617,60,0
182,Austin-Burns,32666.91,2026-03-09,2026-04-23,2026-04-17,39,46.93617021276596,25027.96574468085,1.3052163461164494,45,0
183,"Bullock, Spears and Dawson",36076.51,2025-08-06,2025-10-05,2025-09-25,50,38.38297872340426,21028.421063829785,1.7156071723356292,60,0
184,Mcknight PLC,31742.47,2025-12-31,2026-01-15,2026-01-12,12,49.5625,21329.647708333334,1.4881853856216507,15,0
185,Golden Group,48927.72,2025-08-21,2025-09-20,2025-09-14,24,34.95454545454545,26376.188181818183,1.8549958645551063,30,0
186,Evans Ltd,45219.49,2025-07-08,2025-09-06,2025-09-26,80,44.63265306122449,25183.376734693877,1.7956086856971556,60,0
187,Nguyen Group,18243.94,2025-09-09,2025-10-24,2025-10-20,41,35.81132075471698,24230.044716981134,0.7529470214809015,45,0
188,Smith-Kim,28513.44,2026-04-23,2026-05-23,2026-06-19,57,35.90909090909091,27937.150909090906,1.0206280551937588,30,0
189,"Morgan, Schultz and Weaver",43606.56,2025-11-26,2025-12-26,2026-02-04,70,54.25,27012.770625,1.614294239023473,30,0
190,"Guzman, Duarte and Taylor",7584.33,2025-07-08,2025-08-07,2025-07-29,21,30.49019607843137,24701.661764705877,0.30703723790909526,30,0
191,Holmes Inc,965.17,2025-11-09,2025-12-24,2026-02-05,88,53.84615384615385,23375.006153846156,0.04129068431672646,45,0
192,Holmes Inc,4156.16,2026-03-11,2026-04-25,2026-04-23,43,53.84615384615385,23375.006153846156,0.17780358955397063,45,0
193,Guerrero Ltd,34670.52,2025-11-30,2026-01-14,2026-01-08,39,46.75,27143.911346153844,1.2772853387952372,45,0
194,Holmes Inc,42740.11,2025-12-02,2026-01-16,2026-02-10,70,53.84615384615385,23375.006153846156,1.8284534223734303,45,0
195,Evans Ltd,28953.19,2026-05-03,2026-06-02,2026-05-28,25,44.63265306122449,25183.376734693877,1.149694510987188,30,0
196,Golden Group,20092.38,2025-11-18,2025-12-03,2025-11-23,5,34.95454545454545,26376.188181818183,0.7617620810671278,15,0
197,"Miller, Whitehead and Lindsey",41725.53,2026-03-31,2026-04-15,2026-04-08,8,46.84615384615385,26290.750512820512,1.5870802158977095,15,0
198,Golden Group,11340.72,2025-06-07,2025-07-07,2025-07-02,25,34.95454545454545,26376.188181818183,0.42996053568564785,30,1
199,Horton LLC,34202.33,2025-08-02,2025-09-16,2025-10-29,88,62.05128205128205,25709.866923076923,1.3303192156665862,45,1
200,Duarte Group,2451.42,2025-08-24,2025-09-08,2025-08-29,5,52.048780487804876,21627.400487804876,0.11334788022177199,15,0
